t,S,I,R,D
471,293.6652596,4.38E-14,96727.13886,2979.195877
472,293.6652596,3.98E-14,96727.13886,2979.195877
473,293.6652596,3.61E-14,96727.13886,2979.195877
474,293.6652596,3.28E-14,96727.13886,2979.195877
475,293.6652596,2.97E-14,96727.13886,2979.195877
476,293.6652596,2.70E-14,96727.13886,2979.195877
477,293.6652596,2.45E-14,96727.13886,2979.195877
478,293.6652596,2.22E-14,96727.13886,2979.195877
479,293.6652596,2.02E-14,96727.13886,2979.195877
480,293.6652596,1.83E-14,96727.13886,2979.195877
481,293.6652596,1.66E-14,96727.13886,2979.195877
482,293.6652596,1.51E-14,96727.13886,2979.195877
483,293.6652596,1.37E-14,96727.13886,2979.195877
484,293.6652596,1.24E-14,96727.13886,2979.195877
485,293.6652596,1.13E-14,96727.13886,2979.195877
486,293.6652596,1.03E-14,96727.13886,2979.195877
487,293.6652596,9.31E-15,96727.13886,2979.195877
488,293.6652596,8.45E-15,96727.13886,2979.195877
489,293.6652596,7.67E-15,96727.13886,2979.195877
490,293.6652596,6.96E-15,96727.13886,2979.195877
491,293.6652596,6.32E-15,96727.13886,2979.195877
492,293.6652596,5.74E-15,96727.13886,2979.195877
493,293.6652596,5.21E-15,96727.13886,2979.195877
494,293.6652596,4.73E-15,96727.13886,2979.195877
495,293.6652596,4.29E-15,96727.13886,2979.195877
496,293.6652596,3.90E-15,96727.13886,2979.195877
497,293.6652596,3.54E-15,96727.13886,2979.195877
498,293.6652596,3.21E-15,96727.13886,2979.195877
499,293.6652596,2.92E-15,96727.13886,2979.195877
500,293.6652596,2.65E-15,96727.13886,2979.195877
